date,Close,High,Low,Open,Volume,returns,returns_shift(next_day_returns)
2000-01-05,87.72550964355469,88.68500740528107,86.00232998984201,87.68634646960668,12177900,0.0017879676970466996,-0.03910572432605841
2000-01-06,86.31568908691406,88.66548098583188,86.31568908691406,87.49058503637298,6227200,-0.016070816372215968,0.0017879676970466996
2000-01-07,91.32857513427734,91.32857513427734,87.76472421780254,87.92137700533989,8066500,0.058076186385022543,-0.016070816372215968
2000-01-10,91.64188385009766,92.0530974314763,90.87820148468018,91.64188385009766,5741700,0.0034305661219358186,0.058076186385022543
2000-01-11,90.5453109741211,91.54397249221802,89.91869982551127,91.36773810667151,7503700,-0.01196584825526148,0.0034305661219358186
2000-01-12,89.64454650878906,90.60404471301158,89.52705693276181,90.60404471301158,6907700,-0.009948217700522122,-0.01196584825526148
2000-01-13,90.85860443115234,91.32856272993416,89.78161666311067,90.52571730284855,5158300,0.013543020402744244,-0.009948217700522122
2000-01-14,92.09223175048828,92.40553723805107,91.4656207753627,91.81808944887084,7437300,0.013577440761493476,0.013543020402744244
2000-01-18,91.36770629882812,91.87682767983317,90.97607446728578,91.07398242517137,6488500,-0.007867389440872286,0.013577440761493476
2000-01-19,92.11182403564453,92.11182403564453,90.85860193992148,91.05441789237821,6157900,0.008144209447292994,-0.007867389440872286
2000-01-20,90.70196533203125,92.09225884208614,90.11451737003624,92.09225884208614,5800100,-0.015305947074370274,0.008144209447292994
2000-01-21,90.5061264038086,91.17190059198026,90.27114727857153,91.17190059198026,6244800,-0.002159147572004083,-0.015305947074370274
2000-01-24,87.94098663330078,91.38734905758511,87.35353849279777,91.26985942948451,7896900,-0.028342167236978022,-0.002159147572004083
2000-01-25,88.9395980834961,88.9395980834961,87.09892828608335,88.04863557517396,9942500,0.011355472441529013,-0.028342167236978022
2000-01-26,88.23465728759766,88.6948247190798,87.78428065253003,88.35214684457182,5158100,-0.007926062306202963,0.011355472441529013
2000-01-27,87.88221740722656,89.11585815960073,86.55066865863222,88.88087896867232,10922700,-0.003994347473038062,-0.007926062306202963
2000-01-28,85.14079284667969,87.76472712484322,84.92539525668118,87.37309514302777,11916200,-0.03119430348285057,-0.003994347473038062
2000-01-31,87.45145416259766,87.51998978498213,84.59253962884502,85.10166139512974,10768700,0.02713929761118128,-0.03119430348285057
2000-02-01,88.31299591064453,88.78295420373887,86.80521305363352,87.56889527991183,8419900,0.009851657199948072,0.02713929761118128
2000-02-02,88.3913345336914,89.13543526747083,87.96053937202964,88.52840572149287,6205900,0.000887056567825395,0.009851657199948072
2000-02-03,89.72283172607422,89.76199490011442,87.72550985002455,88.2737942865872,7997500,0.015063662059263239,0.000887056567825395
2000-02-04,89.350830078125,90.2320019723866,89.05710611337113,89.7228804334799,4925400,-0.004146120232639827,0.015063662059263239
2000-02-07,89.21377563476562,89.46833645198511,88.62632759502836,89.33126524271307,5845800,-0.0015338911036365532,-0.004146120232639827
2000-02-08,90.42779541015625,90.5844481523133,89.99700036922437,90.21239788969031,4936400,0.01360798561379939,-0.0015338911036365532
2000-02-09,88.52843475341797,90.52575843066828,88.51864395107852,90.52575843066828,8511500,-0.021004168553742653,0.01360798561379939
2000-02-10,88.7046127319336,89.33122368279935,88.27381770321338,88.7437759163627,6690600,0.001990072218110983,-0.021004168553742653
2000-02-11,86.90309143066406,88.93957667374407,86.49187806427291,88.88083190711676,9849800,-0.02030921781614392,0.001990072218110983
2000-02-14,87.41223907470703,87.58847342768023,86.66813847326463,87.58847342768023,8528800,0.005858797836314045,-0.02030921781614392
2000-02-15,88.40113830566406,88.48925551075332,86.34507018691453,87.2556146395036,11078300,0.011313052284495972,0.005858797836314045
2000-02-16,87.09894561767578,88.31300466180704,86.97166523401685,87.96053590705927,8845400,-0.0147304968346188,0.011313052284495972
2000-02-17,86.64855194091797,87.99968190338652,86.60938875360004,87.99968190338652,7584200,-0.005171057738572737,-0.0147304968346188
2000-02-18,84.78828430175781,87.02058555127292,84.35748932378121,87.02058555127292,9409200,-0.02146911399544904,-0.005171057738572737
2000-02-22,84.57290649414062,85.43449665059865,83.6721531487527,84.7099776553953,16415400,-0.0025401835806780904,-0.02146911399544904
2000-02-23,85.57157135009766,86.13943761306169,84.27918606197261,84.984123491859,12119000,0.011808330792394184,-0.0025401835806780904
2000-02-24,83.84837341308594,85.8652773041527,83.39799681605162,85.64987980122324,17375000,-0.0201375048958915,0.011808330792394184
2000-02-25,83.54489135742188,85.66949482918568,83.41761096510423,84.70999648709879,10559900,-0.0036194149428389055,-0.0201375048958915
2000-02-28,85.29742431640625,85.64989301192858,83.16303054907652,83.57424402718593,13397800,0.02097714091800884,-0.0036194149428389055
2000-02-29,86.11990356445312,86.11990356445314,85.06249683583093,85.25831289668689,8242500,0.00964248633107534,0.02097714091800884
2000-03-01,86.74645233154297,87.0989209866147,85.9827702455542,86.2373309408838,6868000,0.007275307346587212,0.00964248633107534
2000-03-02,86.80521392822266,87.17726424733753,86.06111328999292,86.9031219069371,7600200,0.0006773948109728423,0.007275307346587212
2000-03-03,88.43048858642578,88.80253891484519,87.54931675595873,87.99969346930855,12770300,0.0187232377486799,0.0006773948109728423
2000-03-06,87.56893920898438,88.56760108278988,86.94232783718485,88.23471379152137,11967100,-0.009742673496589194,0.0187232377486799
2000-03-07,85.87505340576172,87.82342139433162,84.72953051800957,87.7255134552075,20062000,-0.019343454637267832,-0.009742673496589194
2000-03-08,85.76739501953125,86.37442452766035,84.61208079438231,85.51283425805775,11808500,-0.0012536631065809267,-0.019343454637267832
2000-03-09,88.27383422851562,88.27383422851562,85.29743165470587,86.00236910639765,5500900,0.029223683526981237,-0.0012536631065809267
2000-03-10,87.80390167236328,88.97879776967412,87.43185124154817,87.84306487560697,7924600,-0.005323577028905513,0.029223683526981237
2000-03-13,86.84440612792969,88.01930226494791,85.02331711555146,85.64992838862784,10540500,-0.01092770965934875,-0.005323577028905513
2000-03-14,85.6107406616211,87.78429789250855,85.31701671150117,87.27517637896734,8263900,-0.014205468392417764,-0.01092770965934875
2000-03-15,87.60807037353516,87.99970233765467,85.25827858881807,85.76740014217344,10300800,0.023330363649212815,-0.014205468392417764
2000-03-16,91.70059967041016,92.01390515721917,88.27382090843669,88.7437791386502,25601400,0.04671406731623762,0.023330363649212815
2000-03-17,92.30664825439453,92.97411444764197,91.36434304039817,91.59991934389726,10272900,0.0066089925928798365,0.04671406731623762
2000-03-20,91.83551788330078,92.56187832829481,90.95210653128099,92.26740787762155,12502300,-0.005103970082364295,0.0066089925928798365
2000-03-21,93.72015380859375,94.07351844381677,90.77544851506859,91.42328367964413,13612600,0.0205218630953643,-0.005103970082364295
2000-03-22,94.28946685791016,94.76061972165986,93.40605523837945,93.95573357942078,8260000,0.006074606433949414,0.0205218630953643
2000-03-23,95.89923858642578,96.40965418586222,93.7005252350072,93.7005252350072,11654500,0.017072657022671134,0.006074606433949414
2000-03-24,96.46851348876953,97.8427088376124,95.31026312331626,96.03662352199035,11462900,0.005936177499790141,0.017072657022671134
2000-03-27,95.44766998291016,96.60592019454975,95.3691445448329,96.35071252079865,8798600,-0.010582141975041592,0.005936177499790141
2000-03-28,94.89801788330078,96.10534682409991,94.60354740993513,95.01580607264704,6334400,-0.005758674881301884,-0.010582141975041592
2000-03-29,94.99615478515625,95.79122489650132,94.01458674645862,95.21209975366972,6747500,0.0010341301540792713,-0.005758674881301884
2000-03-30,93.40601348876953,95.43785930551768,92.42444546135498,94.32868743453922,9491900,-0.016739006962786962,0.0010341301540792713
2000-03-31,94.4661636352539,95.68330871949865,93.24901855100916,93.99501069941722,9249100,0.011349913211014417,-0.016739006962786962
2000-04-03,95.01576232910156,95.01576232910156,93.4059911491457,94.30903351838924,8508200,0.005817942347799088,0.011349913211014417
2000-04-04,94.30904388427734,96.11512882127849,88.8220793202358,95.3298745008432,19585500,-0.007437907432415125,0.005817942347799088
2000-04-05,93.72015380859375,94.7409849770158,92.73858537741869,92.8956363264067,8387200,-0.006244258783984713,-0.007437907432415125
2000-04-06,94.53485107421875,95.29065872998814,93.60236110930849,94.38761581660134,6378500,0.00869287162384369,-0.006244258783984713
2000-04-07,95.13356018066406,95.56545005354367,94.54461944491914,95.21208561209671,6023600,0.006333210447174276,0.00869287162384369
2000-04-10,94.7605972290039,96.18387116708196,94.42686402973044,95.32990680423514,9624200,-0.003920414109930048,0.006333210447174276
2000-04-11,94.48575592041016,95.2513791244193,93.20971724706159,94.23054818574045,9006400,-0.00290037543695032,-0.003920414109930048
2000-04-12,91.89441680908203,94.95690965723772,91.815891351437,94.46612554695636,10779200,-0.02742571180264397,-0.00290037543695032
2000-04-13,90.61833190917969,93.07225120914664,90.32386159318365,92.64036141235246,12225800,-0.01388642470579593,-0.02742571180264397
2000-04-14,85.43566131591797,89.71529692411423,83.86515283584595,89.59750878810883,29604000,-0.05719229745319021,-0.01388642470579593
2000-04-17,88.41966247558594,88.41966247558594,84.61117790181514,84.92527972233232,23918200,0.03492688080957129,-0.05719229745319021
2000-04-18,90.75579833984375,90.75579833984375,87.8110936565263,88.30187777041255,11069200,0.02642099957012234,0.03492688080957129
2000-04-19,89.91165161132812,91.16805897008904,89.53865567669598,90.77543167047625,6553700,-0.009301298032271532,0.02642099957012234
2000-04-20,90.34352111816406,90.4220465602485,89.44047853419283,90.18647023399515,8537600,0.004803265195292283,-0.009301298032271532
2000-04-24,89.36197662353516,90.02944305701499,88.26262014486248,88.89082384696115,12893100,-0.010864580907192,0.004803265195292283
2000-04-25,93.07232666015625,93.07232666015625,90.73619359275304,90.85398181463891,14102000,0.04152045620311284,-0.010864580907192
2000-04-26,92.02198028564453,93.44525358072916,91.71769427083333,92.9544696858724,7711100,-0.011285270414985393,0.04152045620311284
2000-04-27,91.71774291992188,92.5618916668304,89.83313176403307,89.83313176403307,15595300,-0.0033061379985332984,-0.011285270414985393
2000-04-28,91.14842987060547,92.88580571457457,91.12879850513688,92.3459431641887,8743400,-0.006207229170624773,-0.0033061379985332984
2000-05-01,92.38520050048828,93.27842757715047,91.6195772919207,92.07109867133235,7328300,0.01356875408208924,-0.006207229170624773
2000-05-02,90.53984832763672,92.4244592208399,90.53984832763672,91.40362832035485,9411900,-0.019974543139534617,0.01356875408208924
2000-05-03,88.41966247558594,90.4613243089476,87.8110901983339,90.4613243089476,12630700,-0.023417157099473562,-0.019974543139534617
2000-05-04,89.08714294433594,89.43069186490136,88.41967647009456,89.20493114567266,5963600,0.0075490049391933045,-0.023417157099473562
2000-05-05,90.16690063476562,90.46137124428478,88.53749659542629,88.61602209129808,7862400,0.012120241538157162,0.0075490049391933045
2000-05-08,89.48959350585938,90.06871887789467,89.10678181925978,89.67609150702329,5064100,-0.0075117046736449256,0.012120241538157162
2000-05-09,88.77303314208984,90.08833460615885,88.11538241005535,89.87238958966991,5620300,-0.008007192073373526,-0.0075117046736449256
2000-05-10,86.77063751220703,88.55709181392893,86.53506112077118,88.26262132463413,10293900,-0.02255635026774161,-0.008007192073373526
2000-05-11,88.75341796875,88.89083754976775,87.39885352728932,88.0270573262276,7091100,0.02285082273671235,-0.02255635026774161
2000-05-12,89.71536254882812,90.12762132640479,88.96937047511796,89.08715869728272,5960800,0.010838394758124315,0.02285082273671235
2000-05-15,91.26624298095703,91.47237237465461,89.20494904398123,89.67610194386141,4441300,0.01728667630680114,0.010838394758124315
2000-05-16,92.14960479736328,92.79743968409379,91.28582494838928,92.07107935654747,8192200,0.009678954535145667,0.01728667630680114
2000-05-17,91.18767547607422,91.83551041487088,90.75578551687646,91.52140862636341,5907200,-0.01043877858623854,0.009678954535145667
2000-05-18,90.06868743896484,91.91403543793231,90.06868743896484,91.48214548072716,4325600,-0.01227126397583167,-0.01043877858623854
2000-05-19,88.65526580810547,89.98038326648614,88.20374430376835,89.5583088167797,6518400,-0.015692708210244377,-0.01227126397583167
2000-05-22,87.98778533935547,88.87119683874658,86.06391140734814,88.73377727217463,10839400,-0.007528943291363666,-0.015692708210244377
2000-05-23,86.69210052490234,88.45892322581749,86.41726143809333,88.22334686569546,7979200,-0.014725735048971456,-0.007528943291363666
2000-05-24,88.10556030273438,88.38039939458783,85.74979665827624,86.69210211605949,11081500,0.01630436647945821,-0.014725735048971456
2000-05-25,86.59395599365234,89.087139491996,86.51543052913757,88.38041031136315,8278900,-0.017156741343998028,0.01630436647945821
2000-05-26,86.69210052490234,87.75219414545143,86.27002621301708,87.20251597183339,4814000,0.0011333877765926648,-0.017156741343998028
2000-05-30,89.51904296875,89.79388213575932,87.61480016875686,87.94853344298245,5362700,0.03260899697586184,0.0011333877765926648
2000-05-31,89.71536254882812,90.4613546225383,89.26384103052986,89.55831158594178,6056500,0.0021930482450158717,0.03260899697586184
2000-06-01,91.28587341308594,91.36439889559182,89.83315198672715,90.2650421405095,8961600,0.01750548422967202,0.0021930482450158717
2000-06-02,92.8759765625,93.66123106736154,92.65021589235229,93.56307425425385,8962200,0.017418939973532943,0.01750548422967202
2000-06-05,92.42447662353516,93.11157447438981,92.26742568619694,92.64042166237519,6998100,-0.004861321039903221,0.017418939973532943
2000-06-06,92.01221466064453,92.83673205252572,91.65885006412404,92.11037149301134,4858900,-0.00446052796782237,-0.004861321039903221
2000-06-07,92.65023040771484,92.97414794171787,91.71774053710007,92.11036785104312,4919500,0.006934033154439412,-0.00446052796782237
2000-06-08,92.28707885742188,92.81712589616903,91.7570318186747,92.66007492172542,5723100,-0.0039195968395857594,0.006934033154439412
